population-weighted annual mean PM2.5 concentration for 2023 (ugm-3),,,,
The total PM2.5 concentration should be used for health burden calculations,,,,
Area code,PM2.5 2023 (total),PM2.5 2023 (non-anthropogenic),PM2.5 2023 (anthropogenic),Region
00FD,6.9702,0.5173,6.4529,North Lincolnshire
00FF,5.9028,0.4703,5.4325,York
00FK,7.9424,0.5619,7.3805,Derby
00FN,8.3288,0.5614,7.7674,Leicester
00FP,6.9613,0.5679,6.3935,Rutland
00FY,8.1492,0.5621,7.5871,Nottingham
00GA,4.7121,0.4399,4.2722,County of Herefordshire
00GF,5.744,0.5387,5.2053,Telford and Wrekin
00GG,5.1097,0.557,4.5527,Shropshire
00GL,7.16,0.5534,6.6066,Stoke-on-Trent
00HA,5.844,0.5577,5.2863,Bath and North East Somerset
00HB,6.2939,0.5488,5.7451,Bristol
00HC,5.4419,0.5669,4.8749,North Somerset
00HD,6.2819,0.5395,5.7424,South Gloucestershire
00HE/00HF,5.2581,0.9917,4.2665,Cornwall (with Isle of Scilly)
00HG,5.7621,0.8856,4.8765,Plymouth
00HH,5.4115,0.7815,4.63,Torbay
,6.0393,0.5782,5.4611,"Bournemouth, Christchurch and Poole"
00HX,6.6858,0.5463,6.1395,Swindon
00HY,5.9567,0.5575,5.3992,Wiltshire
00JA,7.4608,0.5897,6.871,Peterborough
00KA,7.5198,0.5548,6.965,Luton
00KB,7.1248,0.5613,6.5635,Bedford
00KC,7.0958,0.561,6.5348,Central Bedfordshire
00KF,7.2172,0.6145,6.6028,Southend-on-Sea
00KG,7.8122,0.6076,7.2046,Thurrock
00LC,7.4511,0.6302,6.8209,Medway
00MA,7.1029,0.5781,6.5248,Bracknell Forest
00MB,6.3462,0.5695,5.7767,West Berkshire
00MC,7.1354,0.5702,6.5653,Reading
00MD,7.7436,0.5751,7.1685,Slough
00ME,7.3004,0.5731,6.7273,Windsor and Maidenhead
00MF,7.0816,0.574,6.5075,Wokingham
00MG,7.2166,0.5549,6.6617,Milton Keynes
00ML,6.6494,0.6947,5.9547,Brighton and Hove
00MR,6.9555,0.5916,6.3639,Portsmouth
00MS,6.7114,0.5758,6.1356,Southampton
00MW,5.6565,0.5887,5.0678,Isle of Wight
